Ordinance,Permit Number,Address,City,State,Unit,Unit Type,Vacation Rental or Homestay,Type of Registration,Number of Bedrooms,Maximum Number of Guests,Permit Issue Date,Registration Renewal Date,Civic League,Ward,Superward,Latitude,Longitude,Norfolk AIR Link,Location Point
,STR25-00044,940 DEFOE AVENUE,Norfolk,Virginia,,single-family,Homestay,administrative,2,4,08/15/2025,08/15/2027,Norview,3,7,36.89223389,-76.24873321,https://air.norfolk.gov/#/property/19869450,POINT (-76.24873321 36.89223389)
49855.0,ZP25-00621,3901 E OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Homestay,CUP,4,8,02/11/2025,02/11/2030,East Ocean View,5,6,36.93053879,-76.19495077,https://air.norfolk.gov/#/property/50000580,POINT (-76.19495077 36.93053879)
,ZP24-00338,3609 AMHERST STREET,Norfolk,Virginia,,single-family,Homestay,administrative,2,4,04/18/2024,04/18/2026,Estabrook and Coleman Place,3,7,36.88005974,-76.2475377,https://air.norfolk.gov/#/property/47558900,POINT (-76.2475377 36.88005974)
,ZP24-00163,240 SOUTH BLAKE ROAD,Norfolk,Virginia,,single-family,Homestay,administrative,1,2,02/28/2024,02/28/2026,Cromwell Farms and Ellsworth,2,6,36.90059414,-76.27174545,https://air.norfolk.gov/#/property/44538500,POINT (-76.27174545 36.90059414)
,ZP25-01668,2428 E OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Homestay,administrative,3,6,07/16/2025,07/16/2027,East Ocean View,5,6,36.93490742,-76.21137385,https://air.norfolk.gov/#/property/31307200,POINT (-76.21137385 36.93490742)
,ZP25-00804,1003 35TH STREET,Norfolk,Virginia,,single-family,Homestay,administrative,3,6,04/07/2025,04/07/2027,Kensington and Old Dominion,2,7,36.87751225,-76.29830339,https://air.norfolk.gov/#/property/04382500,POINT (-76.29830339 36.87751225)
,ZP19-00019,3613 BAYSIDE AVENUE,Norfolk,Virginia,,duplex,Homestay,administrative,1,2,01/17/2019,,East Ocean View,5,6,36.93192952,-76.19787003,https://air.norfolk.gov/#/property/49577100,POINT (-76.19787003 36.93192952)
49497.0,ZP24-00236,1432 NORCOVA AVENUE,Norfolk,Virginia,,single-family,Homestay,CUP,4,8,02/27/2024,02/27/2026,Fox Hall,4,7,36.86846677,-76.22635761,https://air.norfolk.gov/#/property/02976900,POINT (-76.22635761 36.86846677)
,ZP25-00446,4259 HEUTTE DRIVE,Norfolk,Virginia,,single-family,Homestay,administrative,2,4,03/10/2025,03/10/2027,Camellia Shores and Camellia Acres,5,6,36.91137143,-76.19170535,https://air.norfolk.gov/#/property/10492700,POINT (-76.19170535 36.91137143)
,ZP24-00872,2000 E OCEAN VIEW AVENUE,Norfolk,Virginia,,single-family,Homestay,administrative,3,6,10/08/2024,10/08/2026,Cottage Line,5,6,36.93758767,-76.21860664,https://air.norfolk.gov/#/property/32566000,POINT (-76.21860664 36.93758767)
,ZP24-00590,530 W 26TH STREET,Norfolk,Virginia,,single-family,Homestay,administrative,2,3,06/27/2024,06/27/2026,Park Place,2,7,36.87347505,-76.29152353,https://air.norfolk.gov/#/property/32305600,POINT (-76.29152353 36.87347505)
,ZP24-01097,206 HOUGH AVENUE,Norfolk,Virginia,,single-family,Homestay,administrative,3,6,12/30/2024,12/30/2026,Beacon Light Berkley,4,7,36.83576936,-76.27950784,https://air.norfolk.gov/#/property/19978000,POINT (-76.27950784 36.83576936)
,ZP25-01718,9542 18TH BAY STREET,Norfolk,Virginia,ADU,single-family,Homestay,administrative,2,4,07/16/2025,07/16/2027,East Ocean View,5,6,36.928225,-76.19663654,https://air.norfolk.gov/#/property/00911523,POINT (-76.19663654 36.928225)
49694.0,ZP24-00858,1547 CRANE AVENUE,Norfolk,Virginia,,single-family,Homestay,CUP,4,8,08/27/2024,08/27/2026,Bel-Aire,5,6,36.91929656,-76.23249591,https://air.norfolk.gov/#/property/04524700,POINT (-76.23249591 36.91929656)
49850.0,ZP25-00813,801 COLONIAL AVENUE,Norfolk,Virginia,,single-family,Homestay,CUP,4,8,02/11/2025,02/11/2030,Ghent Neighborhood League,2,6,36.86068644,-76.29591529,https://air.norfolk.gov/#/property/42125300,POINT (-76.29591529 36.86068644)
,ZP25-01329,2817 EARLSCOURT AVENUE,Norfolk,Virginia,,single-family,Homestay,administrative,2,4,05/17/2025,05/17/2027,Chesterfield Heights,4,7,36.84459667,-76.254172,https://air.norfolk.gov/#/property/45665200,POINT (-76.254172 36.84459667)
,ZP24-00755,2712 PRETTY LAKE AVENUE,Norfolk,Virginia,ADU,single-family w ADU,Homestay,administrative,2,4,08/23/2024,08/23/2026,East Ocean View,5,6,36.93138239,-76.20917182,https://air.norfolk.gov/#/property/09089907,POINT (-76.20917182 36.93138239)
,ZP23-01150,300 E LIBERTY STREET,Norfolk,Virginia,,single-family,Homestay,administrative,3,6,12/18/2023,12/18/2025,Beacon Light Berkley,4,7,36.83053351,-76.28187531,https://air.norfolk.gov/#/property/46617002,POINT (-76.28187531 36.83053351)
,ZP24-00928,741 BANCKER ROAD,Norfolk,Virginia,,single-family,Homestay,administrative,3,6,10/23/2024,10/23/2026,Crossroads,5,6,36.91744525,-76.25184784,https://air.norfolk.gov/#/property/27502400,POINT (-76.25184784 36.91744525)
,ZP25-00013,726 YARMOUTH STREET,Norfolk,Virginia,,single-family,Homestay,administrative,1,2,01/07/2025,01/07/2027,Ghent Neighborhood League,2,6,36.85486771,-76.29350225,https://air.norfolk.gov/#/property/00001316,POINT (-76.29350225 36.85486771)
