Ordinance,Permit Number,Address,City,State,Unit,Unit Type,Vacation Rental or Homestay,Type of Registration,Number of Bedrooms,Maximum Number of Guests,Permit Issue Date,Registration Renewal Date,Civic League,Ward,Superward,Latitude,Longitude,Norfolk AIR Link,Location Point
,ZP24-00821,8308 CAPEVIEW AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,09/23/2024,09/23/2026,South Bayview,5,6,36.92505019,-76.233382,https://air.norfolk.gov/#/property/05003300,POINT (-76.233382 36.92505019)
,ZP25-01273,1553 LEA VIEW AVENUE,Norfolk,Virginia,,Single-family,Vacation Rental,administrative,3,6,05/16/2025,05/16/2027,Willoughby,1,6,36.96812277,-76.29606236,https://air.norfolk.gov/#/property/16122300,POINT (-76.29606236 36.96812277)
49853.0,ZP25-00604,9613 9TH BAY STREET,Norfolk,Virginia,,single-family,Vacation Rental,CUP,4,8,02/11/2025,02/11/2027,East Ocean View,5,6,36.93231907,-76.20733419,https://air.norfolk.gov/#/property/82287601,POINT (-76.20733419 36.93231907)
,ZP23-00948,3538 KEVIN DRIVE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,10/11/2023,10/11/2025,Azalea Acres and Azalea Lakes,4,7,36.89187607,-76.21965845,https://air.norfolk.gov/#/property/41552700,POINT (-76.21965845 36.89187607)
,ZP24-01014,765 W OCEAN VIEW AVENUE,Norfolk,Virginia,,Single-family,Vacation Rental,administrative,2,4,11/15/2024,11/15/2026,Willoughby,1,6,36.96459375,-76.27112493,https://air.norfolk.gov/#/property/09081760,POINT (-76.27112493 36.96459375)
49562.0,ZP24-00451,902 W OCEAN VIEW AVENUE,Norfolk,Virginia,B,triplex,Vacation Rental,CUP,2,4,04/23/2024,04/23/2034,Willoughby,1,6,36.9668728,-76.27503916,https://air.norfolk.gov/#/property/36308750,POINT (-76.27503916 36.9668728)
49390.0,ZP24-00068,2032 E OCEAN VIEW AVENUE,Norfolk,Virginia,Unit 3,triplex,Vacation Rental,CUP,3,6,10/24/2023,10/24/2025,Cottage Line,5,6,36.93701008,-76.21741564,https://air.norfolk.gov/#/property/45893554,POINT (-76.21741564 36.93701008)
,ZP25-00705,9617 14TH BAY STREET,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,03/31/2025,03/31/2027,East Ocean View,5,6,36.93096188,-76.20171529,https://air.norfolk.gov/#/property/29881901,POINT (-76.20171529 36.93096188)
,ZP23-01086,512 DIXIE DRIVE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,2,4,11/16/2023,11/16/2025,Oakdale Farms and Denby Park,1,7,36.91927634,-76.25772874,https://air.norfolk.gov/#/property/12658100,POINT (-76.25772874 36.91927634)
,ZP24-00760,1041 E BAYVIEW BOULEVARD,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,08/23/2024,08/23/2026,Bayview,5,6,36.93373664,-76.24235498,https://air.norfolk.gov/#/property/02754100,POINT (-76.24235498 36.93373664)
49983.0,ZP25-01424,1116 VIRGILINA AVENUE,Norfolk,Virginia,A,duplex,Vacation Rental,CUP,2,4,05/20/2025,05/20/2027,Bayview,5,6,36.94459845,-76.23991882,https://air.norfolk.gov/#/property/05015300,POINT (-76.23991882 36.94459845)
,ZP25-01518,259 PORTVIEW AVENUE,Norfolk,Virginia,,Single-family,Vacation Rental,administrative,3,6,06/12/2025,06/12/2027,Ocean View,5,6,36.95651658,-76.25655731,https://air.norfolk.gov/#/property/14912600,POINT (-76.25655731 36.95651658)
49177.0,ZP23-00513,1273 LITTLE BAY AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,CUP,5,10,05/09/2023,05/09/2028,Willoughby,1,6,36.96591887,-76.28715404,https://air.norfolk.gov/#/property/24078101,POINT (-76.28715404 36.96591887)
49618.0,ZP24-00739,930 REDGATE AVENUE,Norfolk,Virginia,2,multifamily,Vacation Rental,CUP,1,2,06/11/2024,06/11/2029,West Ghent,2,6,36.86496712,-76.3029743,https://air.norfolk.gov/#/property/09891000,POINT (-76.3029743 36.86496712)
,ZP24-00498,9536 19TH BAY STREET,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,05/28/2024,05/28/2026,East Ocean View,5,6,36.9274028,-76.19550072,https://air.norfolk.gov/#/property/13298901,POINT (-76.19550072 36.9274028)
,ZP24-00107,1271 W OCEAN VIEW AVENUE,Norfolk,Virginia,,townhome,Vacation Rental,administrative,3,6,02/08/2024,02/08/2026,Willoughby,1,6,36.96686338,-76.287177,https://air.norfolk.gov/#/property/23279908,POINT (-76.287177 36.96686338)
,ZP24-00152,8564 LAWSON AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,02/26/2024,02/26/2026,Northside,1,6,36.93221924,-76.2579404,https://air.norfolk.gov/#/property/01054900,POINT (-76.2579404 36.93221924)
,ZP24-00639,2320 DOMINION AVENUE,Norfolk,Virginia,,single-family,Vacation Rental,administrative,3,6,07/11/2024,07/11/2026,Roosevelt Area,5,6,36.91724682,-76.21771241,https://air.norfolk.gov/#/property/36753500,POINT (-76.21771241 36.91724682)
49423.0,ZP24-00049,9602 10TH BAY STREET,Norfolk,Virginia,,single-family,Vacation Rental,CUP,5,10,12/05/2023,12/05/2025,East Ocean View,5,6,36.93156317,-76.20580632,https://air.norfolk.gov/#/property/00002611,POINT (-76.20580632 36.93156317)
